time,temp,hum,press,level,gap,force,position,speed,rpm,deviation
1,258,579,210,977,45,924,994.788,509.5686,920.9303,807.8744
2,595,275,242,720,480,146,763.6166,703.7362,43.2474,734.9411
3,777,189,222,349,183,480,256.23,284.7004,78.567,903.0251
4,292,257,972,406,337,607,897.371,126.9006,355.3249,222.6114
5,309,993,38,325,39,582,974.0188,612.4325,771.5879,567.8301
6,14,564,659,133,890,23,794.2857,691.2667,639.4253,476.4559
7,934,662,367,195,305,277,913.1121,480.3818,108.3107,585.4734
8,563,228,233,961,207,569,295.2363,939.4917,964.7018,79.1665
9,46,270,537,473,108,120,233.7594,752.3689,568.1145,618.8478
10,9,569,323,987,99,970,838.0917,985.9894,331.2887,371.1583
11,752,765,252,120,680,121,167.6044,909.2763,436.3028,775.4154
12,907,363,772,361,965,256,558.4025,823.9003,603.1107,40.9338
13,576,937,48,220,574,680,177.2261,888.3649,291.6634,66.2575
14,283,609,848,428,356,245,212.4778,622.0219,769.4743,363.7504
15,962,9,836,315,797,695,62.8194,852.4179,100.1788,454.5046
16,946,1000,729,859,689,836,647.3842,331.7429,426.7842,439.7287
17,132,963,807,863,259,171,543.0848,985.8257,125.989,750.1332
18,964,838,608,625,381,877,727.1495,106.3132,870.6516,883.6245
19,382,553,37,738,823,652,997.2916,273.925,955.7825,934.7818
20,418,11,661,661,514,67,939.5263,349.0969,495.0085,554.3357
21,410,974,3,12,294,235,375.1508,971.8921,391.2721,773.0643
22,303,905,326,668,578,849,468.0638,680.333,248.2548,634.4021
23,637,234,743,13,751,781,760.9519,891.3711,70.3324,828.0544
24,473,423,895,227,750,158,297.4473,470.2617,922.3718,831.7418
25,530,96,471,999,318,153,628.509,563.7433,157.6906,321.7176
26,902,887,750,336,272,5,596.038,971.8894,68.6649,188.9775
27,871,706,646,385,171,388,157.9372,107.9873,804.8334,235.5153
28,860,316,699,241,703,666,883.7271,495.9495,488.1762,999.404
29,740,516,107,413,945,314,182.6151,863.1463,254.2539,120.4322
30,594,715,229,91,671,698,689.4068,688.0616,508.0931,986.9557
31,395,602,677,124,240,163,649.5582,615.6902,214.4065,234.2813
32,466,850,166,398,253,806,875.7341,830.8619,134.1837,93.6317
33,190,513,580,993,757,89,176.8949,72.1553,226.1307,85.9757
34,65,604,256,993,60,56,112.2524,921.8918,660.4652,699.1964
35,600,952,370,696,382,434,501.3527,913.9262,561.7453,158.8304
36,109,291,406,125,737,162,285.5905,944.0383,929.8239,915.3506
37,15,211,335,161,21,783,308.2581,355.1022,858.6473,666.7591
38,309,206,146,751,418,886,884.5295,187.8211,654.214,980.6135
39,211,49,777,688,601,425,78.169,737.7291,537.4652,623.502
40,115,996,133,854,463,222,846.2028,77.1648,774.9068,690.7887
41,373,968,159,231,78,66,924.4253,767.4356,924.3859,410.5209
42,616,403,765,735,627,135,994.1145,984.9236,733.8381,421.2515
43,858,413,111,235,232,890,27.5099,262.4384,859.2717,635.2595
44,599,210,597,924,793,576,662.1408,36.1928,805.6251,200.2921
45,709,369,713,283,719,100,499.5207,71.9391,26.3454,456.6337
46,585,66,437,943,583,253,524.888,190.0975,234.8589,682.8569
47,165,677,46,571,964,712,585.3144,183.4303,92.4526,87.8051
48,540,842,450,42,891,804,351.8813,110.6572,722.2507,837.8072
